did,director_name
1624,Steve Carver
1625,Gonzalo López-Gallego
1626,Christine Jeffs
1627,Don Coscarelli
1628,Michael Tiddes
1629,Bill Duke
1630,Frank Borzage
1631,Mamoru Hosoda
1632,Brian Dannelly
1633,Denys Arcand
1634,J.S. Cardone
1635,Jay Levey
1636,Nicholaus Goossen
1637,Ronan Chapalain
1638,Xavier Beauvois
1639,Randall Miller
1640,Jerry Belson
1641,Dan Rush
1642,Michael Cuesta
1643,Fenton Bailey
1644,Jeremy Saulnier
1645,Billy Kent
1646,James Manera
1647,Feroz Abbas Khan
1648,Errol Morris
1649,Dennis Hopper
1650,Eli Craig
1651,Nicholas Fackler
1652,Richard Wallace
1653,Morgan J. Freeman
1654,Matthew Hastings
1655,Klaus Menzel
1656,Oren Peli
1657,Paul Andrew Williams
1658,Jim Amatulli
1659,William H. Macy
1660,Barrett Esposito
1661,Vicky Jewson
1662,Marc Bennett
1663,Mike Mayhall
1664,Stanton Barrett
1665,Jirí Menzel
1666,Fatih Akin
1667,Nick Murphy
1668,Frank LaLoggia
1669,Jeremy Brock
1670,Scott Foley
1671,Christophe Ali
1672,Gabriela Tagliavini
1673,Shekar
1674,Shona Auerbach
1675,Leonard Farlinger
1676,Michel Leclerc
1677,Analeine Cal y Mayor
1678,Tom Kalin
1679,Robert Sarkies
1680,John Huston
1681,Walter Lang
1682,Carlos Saura
1683,Andrew Erwin
1684,Beto Gómez
1685,Mike van Diem
1686,Jonas Åkerlund
1687,Todd Solondz
1688,René Féret
1689,Barry Skolnick
1690,Johnnie To
1691,Mateo Gil
1692,Lukas Moodysson
1693,Agnieszka Wojtowicz-Vosloo
1694,Kabir Sadanand
1695,Peter DeLuise
1696,Raja Menon
1697,Nick Love
1698,R. Balki
1699,Ivan Engler
1700,Cecil B. DeMille
1701,Henry Hobson
1702,Mike Figgis
1703,Duane Journey
1704,Billy Wilder
1705,Lisa Cholodenko
1706,John Sturges
1707,William Arntz
1708,Ed Gass-Donnelly
1709,DJ Pooh
1710,James Melkonian
1711,Roger Avary
1712,Allison Anders
1713,Rick de Oliveira
1714,Jeff Franklin
1715,Mike Mills
1716,Dave McKean
1717,Ron Fricke
1718,Ruggero Deodato
1719,Gavin Wiesen
1720,Mora Stephens
1721,Mars Callahan
1722,Leos Carax
1723,Stefan Schwartz
1724,Robert Lee King
1725,Jorge Ramírez Suárez
1726,Dan Ireland
1727,Fernando León de Aranoa
1728,Jim Mickle
1729,Karim Aïnouz
1730,Sam Levinson
1731,Aleksandr Veledinskiy
1732,Peter H. Hunt
1733,Ruba Nadda
1734,Howard Hughes
1735,Edward Burns
1736,Sean Byrne
1737,Mark Griffiths
1738,Bruce Macdonald
1739,Victor Fleming
1740,Richard Raymond
1741,Alan Jacobs
1742,George Sidney
1743,Christopher Morris
1744,Andrucha Waddington
1745,Peter Stebbings
1746,Vincente Minnelli
1747,Dagur Kári
1748,Jim Abrahams
1749,Kevin Carraway
1750,Michael Gornick
1751,Richard Brooks
1752,Robert Eggers
1753,Michael Martin
1754,Gideon Raff
1755,Louis C.K.
1756,Anthony C. Ferrante
1757,Salvador Carrasco
1758,André Øvredal
1759,Robert Cary
1760,Adam Rapp
1761,Warren P. Sonoda
1762,Amanda Gusack
1763,Avi Nesher
1764,Charles Adelman
1765,Jay Oliva
1766,Charles Ferguson
1767,Mark Young
1768,Daniel Petrie Jr.
1769,Antonio Simoncini
1770,Luc Jacquet
1771,Eldar Rapaport
1772,Clark Gregg
1773,Damien Chazelle
1774,Justin Kerrigan
1775,Nathan Frankowski
1776,Karen Moncrieff
1777,Jennifer Finnigan
1778,Eric Styles
1779,Laurent Cantet
1780,John Ford
1781,Max Mayer
1782,Joshua Marston
1783,John Gulager
1784,Brandon Cronenberg
1785,Frank Capra
1786,Tod Williams
1787,Jack Sholder
1788,Ted Post
1789,Kunihiko Yuyama
1790,Tom McLoughlin
1791,Adam Marcus
1792,John Maclean
1793,Benny Boom
1794,Howard Hawks
1795,Nnegest Likké
1796,Christopher Leitch
1797,Patricia Cardoso
1798,Damien O'Donnell
1799,Peter M. Cohen
1800,Mel Stuart
1801,Anthony Hickox
1802,Tom Schulman
1803,Jill Sprecher
1804,Darren Stein
1805,David Nixon
1806,Jason Eisener
1807,Enrique Begne
1808,Matthew Bright
1809,Michael Landon Jr.
1810,Andrea Arnold
1811,Whit Stillman
1812,Leslye Headland
1813,Bobby Roth
1814,Tim Heidecker
1815,Kate Connor
1816,Deon Taylor
1817,Jason Alexander
1818,Conor McPherson
1819,Will Canon
1820,Philip Zlotorynski
1821,Lance Kawas
1822,Francesca Gregorini
1823,Marcio Garcia
1824,Craig Moss
1825,Michael Jai White
1826,Paolo Monico
1827,Youssef Delara
1828,Darin Scott
1829,Christian Sesma
1830,Monte Hellman
1831,Brian Caunter
1832,Chris D'Arienzo
1833,Isaac Florentine
1834,Susan Seidelman
1835,Heidi Ewing
1836,Leon Ford
1837,Hank Braxtan
1838,John Carl Buechler
1839,Rajkumar Hirani
1840,Victor Nunez
1841,Rohit Jugraj
1842,Thorbjørn Christoffersen
1843,Alex van Warmerdam
1844,Pawel Pawlikowski
1845,Frank Sebastiano
1846,Stacy Peralta
1847,Nacho Vigalondo
1848,Hao Ning
1849,Tony Giglio
1850,Stanley Donen
1851,Joe Cross
1852,Dinesh D'Souza
1853,Tommy Lee Wallace
1854,Don Taylor
1855,Leslie Small
1856,Éric Tessier
1857,Alison Maclean
1858,Alice Wu
1859,Sarah Gavron
1860,Isabel Coixet
1861,James Ponsoldt
1862,Joshua Tickell
1863,Tim Boxell
1864,Michael D. Sellers
1865,Reed Cowan
1866,James Dodson
1867,Alex Rivera
1868,John Murlowski
1869,Benni Diez
1870,Danny Perez
1871,Robby Henson
1872,Zackary Adler
1873,Dominic Burns
1874,Carmen Marron
1875,Jason Stone
1876,Jerry Rees
1877,Jaco Booyens
1878,Danny Steinmann
1879,Jon Gunn
1880,Hayley Cloake
1881,Tay Garnett
1882,Shyam Madiraju
1883,Harmage Singh Kalirai
1884,Rita Merson
1885,William Wyler
1886,Larry Clark
1887,Petter Næss
1888,Robert Fontaine
1889,Dan Perri
1890,Neil Mcenery-West
1891,Anthony O'Brien
1892,Michael Herz
1893,David Robert Mitchell
1894,Robert Mulligan
1895,Chia-Liang Liu
1896,Chris Kentis
1897,Alex Kendrick
1898,Robert Rossen
1899,Jack Conway
1900,Sylvain Chomet
1901,Chris Eyre
1902,Elia Kazan
1903,Debra Granik
1904,Henry King
1905,Miranda July
1906,Max Joseph
1907,Jim Jarmusch
1908,Kevin Tenney
1909,Ari Folman
1910,Gary Rogers
1911,Marielle Heller
1912,David Sington
1913,Kelly Reichardt
1914,Bob Giraldi
1915,Huck Botko
1916,David Duchovny
1917,Mitchell Lichtenstein
1918,Lance Mungia
1919,Kundan Shah
1920,Hue Rhodes
1921,Jugal Hansraj
1922,Danny Provenzano
1923,Bill Muir
1924,Noah Buschel
1925,Brian Yuzna
1926,Hunter Richards
1927,Laurie Collyer
1928,Aaron Hann
1929,Phil Claydon
1930,Ralph Ziman
1931,John Simpson
1932,Colin Minihan
1933,Conor McMahon
1934,Chris Shadley
1935,Simon Napier-Bell
1936,Simon Yin
1937,Jeff Crook
1938,Orson Welles
1939,Dave Payne
1940,Brad Copeland
1941,Paul Bunnell
1942,Phil Morrison
1943,Harald Reinl
1944,Tanner Beard
1945,Scott Dow
1946,Derick Martini
1947,Jerry Dugan
1948,Tim Hunter
1949,Richard Ayoade
1950,Jehane Noujaim
1951,Pascal Arnold
1952,Remo
1953,John Laing
1954,Jamal Hill
1955,Daniel Stamm
1956,Carlos Carrera
1957,Benh Zeitlin
1958,J. Lee Thompson
1959,Maggie Greenwald
1960,Vera Farmiga
1961,Vijay Chandar
1962,Jonathan Wacks
1963,Khyentse Norbu
1964,Tony Krantz
1965,Mitchell Altieri
1966,W.D. Hogan
1967,Corey Grant
1968,Lucky McKee
1969,Richard Boddington
1970,David Hunt
1971,Steven R. Monroe
1972,Mark Illsley
1973,Ritesh Batra
1974,Sally Potter
1975,Brad J. Silverman
1976,Dave Meyers
1977,David M. Matthews
1978,Nadine Labaki
1979,Lluís Quílez
1980,Eytan Fox
1981,Romesh Sharma
1982,François Truffaut
1983,Adam Goldberg
1984,Travis Zariwny
1985,Adrienne Shelly
1986,Newt Arnold
1987,Alex Cox
1988,Fabián Bielinsky
1989,Dror Moreh
1990,Rebecca Miller
1991,Maggie Carey
1992,Henry Bean
1993,Simeon Rice
1994,Jeff Garlin
1995,Qasim Basir
1996,Adam Green
1997,Charles Chaplin
1998,Pete Jones
1999,Bruce Campbell
2000,Adam Carolla
2001,Bruce McDonald
2002,James Mottern
2003,Jaime Zevallos
2004,Gerard Johnstone
2005,Robert Greenwald
2006,David Ray
2007,Dave Rodriguez
2008,Nae Caranfil
2009,David Winning
2010,Frank Lotito
2011,Timothy Woodward Jr.
2012,Tara Subkoff
2013,Russell Friedenberg
2014,William Cottrell
2015,Lucrecia Martel
2016,Edward Dmytryk
2017,Zak Penn
2018,Alex Ranarivelo
2019,Mathieu Amalric
2020,David Worth
2021,Leslie H. Martinson
2022,Robert M. Young
2023,Steve Buscemi
2024,Ham Tran
2025,Rich Cowan
2026,Boris Rodriguez
2027,Sadyk Sher-Niyaz
2028,Paul Donovan
2029,Jonathan Kesselman
2030,Arjun Sablok
2031,Tyler Oliver
2032,Douglas Cheek
2033,Deryck Broom
2034,Henry Hathaway
2035,Giovanni Zelko
2036,Claudia Sainte-Luce
2037,Jamie Babbit
2038,David Boyd
2039,Anna Muylaert
2040,Steve Taylor
2041,Kurt Voss
2042,James David Pasternak
2043,Laurent Bouhnik
2044,Tom Sanchez
2045,David Caffrey
2046,Adam Jay Epstein
2047,Justin Thomas Ostensen
2048,Brenton Spencer
2049,Ossie Davis
2050,Jay Alaimo
2051,Dylan Bank
2052,Rob McKittrick
2053,Jeff Burr
2054,Harry Gantz
2055,Guy Maddin
2056,Regardt van den Bergh
2057,Panos Cosmatos
2058,Gareth Evans
2059,Matthew R. Anderson
2060,Joe Marino
2061,Joel Anderson
2062,Shimit Amin
2063,Douglas Trumbull
2064,Mona Fastvold
2065,Levan Gabriadze
2066,Bradley Parker
2067,Clive Barker
2068,Harold Cronk
2069,Takao Okawara
2070,Duncan Tucker
2071,Russ Meyer
2072,Robert D. Webb
2073,Allan Dwan
2074,Andrew Steggall
2075,Ben Lewin
2076,Robert Kenner
2077,Craig Johnson
2078,Sean Durkin
2079,Gillian Robespierre
2080,Courtney Hunt
2081,Morgan Neville
2082,Chris Paine
2083,Greg Berlanti
2084,Marc Levin
2085,Richard Dutcher
2086,Khalid Mohamed
2087,Finn Taylor
2088,José Luis Valenzuela
2089,Gia Coppola
2090,Scandar Copti
2091,Goran Dukic
2092,Mike Cahill
2093,Efram Potelle
2094,Joshua Oppenheimer
2095,Alex Gibney
2096,Paul Crowder
2097,Rohit Jagessar
2098,Anthony Powell
2099,Kief Davidson
2100,Johnny Remo
2101,Vivek Agnihotri
2102,Ti West
2103,Nick Tomnay
2104,Nickolas Perry
2105,Dan Zukovic
2106,Becky Smith
2107,Eric Nicholas
2108,Benjamin Dickinson
2109,Hal Haberman
2110,A. Raven Cruz
2111,Frank Whaley
2112,Amat Escalante
2113,Wajahat Rauf
2114,Katherine Brooks
2115,David Cross
2116,Randall Rubin
2117,Robert Bennett
2118,Mary Pat Kelly
2119,Lori Petty
2120,Charlie Levi
2121,Kevin Hamedani
2122,David DeCoteau
2123,Mikel Rueda
2124,Stefan C. Schaefer
2125,Michael Taliferro
2126,Katie Aselton
2127,Robert Heath
2128,D. Stevens
2129,Jeffrey St. Jules
2130,Robert Hall
2131,K. King
2132,Jonathan Meyers
2133,Ralph Nelson
2134,Blair Erickson
2135,Allison Burnett
2136,Richard Schenkman
2137,Sanjay Rawal
2138,Kat Coiro
2139,Cristian Mungiu
2140,Brian Dorton
2141,Maryam Keshavarz
2142,Ramaa Mosley
2143,C. Jay Cox
2144,Mariette Monpierre
2145,Tommy Oliver
2146,Jamie Travis
2147,Rich Christiano
2148,Natalie Bible'
2149,Asghar Farhadi
2150,Justin Molotnikov
2151,Georg Wilhelm Pabst
2152,Daniel Davila
2153,Jorge Gaggero
2154,Michael Burke
2155,Catherine Jelski
2156,Shane Dawson
2157,Ryan Little
2158,Clark Baker
2159,Matt Maiellaro
2160,Ben Wheatley
2161,Oliver Blackburn
2162,Christopher Hutson
2163,David LaChapelle
2164,Caryn Waechter
2165,Emily Dell
2166,Ryan Fleck
2167,Jennifer Wynne Farmer
2168,Christopher Scott Cherot
2169,H.M. Coakley
2170,Randy Moore
2171,Chris Atkins
2172,Bill Benenson
2173,Ryan Smith
2174,Travis Romero
2175,Anna Mastro
2176,Mark Sandrich
2177,Daniel Myrick
2178,Michael Wadleigh
2179,Gene Teigland
2180,Scott Ziehl
2181,Richard Montoya
2182,Johanna Schwartz
2183,William Gazecki
2184,Lance McDaniel
2185,Thomas Lilti
2186,Michael Walker
2187,U. Roberto Romano
2188,Amy Holden Jones
2189,Blaz Zavrsnik
2190,Pan Nalin
2191,Joe Camp
2192,Matt Walsh
2193,John 'Bud' Cardos
2194,Marilyn Agrelo
2195,Brian Baugh
2196,Patrick Creadon
2197,Barry W. Blaustein
2198,Kurt Hale
2199,Siddiq Barmak
2200,Joseph Dorman
2201,Greg Harrison
2202,Jacob Aaron Estes
2203,Eric Schaeffer
2204,Neema Barnette
2205,Joe Swanberg
2206,Molly Bernstein
2207,Marius A. Markevicius
2208,Tom DiCillo
2209,Quentin Dupieux
2210,Alex Smith
2211,Gareth Edwards
2212,Jonathan Parker
2213,Sol Tryon
2214,Alex Craig Mann
2215,Stephen Kijak
2216,Daston Kalili
2217,Michael Hoffman Jr.
2218,Patrick Gilles
2219,Georgia Hilton
2220,Jack Heller
2221,Fernando Baez Mella
2222,Warren Sheppard
2223,Justin Paul Miller
2224,Joel Paul Reisig
2225,Catherine Gund
2226,Luke Dye
2227,Alec Asten
2228,Hans Canosa
2229,Lloyd Kaufman
2230,Matthew Watts
2231,Lloyd Bacon
2232,Joe Kenemore
2233,Kay Pollak
2234,Eric England
2235,Sue Corcoran
2236,Jonathan Caouette
2237,Ray Griggs
2238,Matt Jackson
2239,Lucio Fulci
2240,Paul Fox
2241,Ari Kirschenbaum
2242,Cassandra Nicolaou
2243,Ingmar Bergman
2244,D.W. Griffith
2245,Roger Nygard
2246,Harry Beaumont
2247,Franck Khalfoun
2248,Mor Loushy
2249,Henry Alex Rubin
2250,Sam Firstenberg
2251,Doug Block
2252,Chad Kapper
2253,Paul Fierlinger
2254,Yorgos Lanthimos
2255,Lauren Lazin
2256,Gregory Widen
2257,Niall Johnson
2258,Eric Mendelsohn
2259,Jean-Luc Godard
2260,Florence Ayisi
2261,Michael Roemer
2262,Eddie O'Flaherty
2263,Babar Ahmed
2264,John D. Hancock
2265,Paul Bartel
2266,Bruce Dellis
2267,Pece Dingo
2268,Jerome Elston Scott
2269,Étienne Faure
2270,Herb Freed
2271,Jack Perez
2272,Craig Zobel
2273,Ken Del Conte
2274,Maria Maggenti
2275,Piyush Dinker Pandya
2276,Daniel Columbie
2277,Emma-Kate Croghan
2278,Bill Plympton
2279,Drake Doremus
2280,Al Franklin
2281,Michael Kang
2282,Lori Silverbush
2283,Stuart Hazeldine
2284,Hilary Brougher
2285,Rachel Goldenberg
2286,Corbin Bernsen
2287,Jamin Winans
2288,Tom Seidman
2289,Jason Naumann
2290,Matt Cimber
2291,Sam Martin
2292,Andrew Hyatt
2293,Kristin Rizzo
2294,Ward Roberts
2295,Zoran Lisinac
2296,James O'Brien
2297,Tom Putnam
2298,Jon Shear
2299,Al Silliman Jr.
2300,Eugène Lourié
2301,Lowell Sherman
2302,Maurizio Benazzo
2303,David G. Evans
2304,Sherman Alexie
2305,Justin Dillon
2306,Stevan Mena
2307,Livingston Oden
2308,Chris Marker
2309,Carl Theodor Dreyer
2310,Marianna Palka
2311,Ricki Stern
2312,Nadia Tass
2313,James Kerwin
2314,C. Fraser Press
2315,Rania Attieh
2316,Sharon Greytak
2317,Majid Majidi
2318,Andrew Haigh
2319,Cary Bell
2320,Nicolae Constantin Tanase
2321,Melvin Van Peebles
2322,Ken Roht
2323,Robinson Devor
2324,Michel Orion Scott
2325,Pat Holden
2326,Eric Bugbee
2327,Bill Melendez
2328,Dena Seidel
2329,Deborah Anderson
2330,Sara Newens
2331,Sai Varadan
2332,Amal Al-Agroobi
2333,Andrew Berends
2334,Lynn Shelton
2335,Valentine
2336,David Hewlett
2337,Nate Parker
2338,Nathan Smith Jones
2339,Travis Cluff
2340,Harry F. Millarde
2341,Robert Townsend
2342,Jamaa Fanaka
2343,Larry Blamire
2344,Stephen Langford
2345,E.L. Katz
2346,Lisanne Pajot
2347,Dan Reed
2348,John Reinhardt
2349,Patrick Ryan Sims
2350,Laslo Benedek
2351,Jason Miller
2352,Sut Jhally
2353,Julie Davis
2354,Myles Berkowitz
2355,Brett Piper
2356,Brandon Trost
2357,Joseph Green
2358,Wade Gasque
2359,Daniel Schechter
2360,Matt Johnson
2361,Bruno Barreto
2362,Lena Dunham
2363,Terron R. Parsons
2364,Daniel Mellitz
2365,Jem Cohen
2366,Andrew Leman
2367,Dave Carroll
2368,William Eubank
2369,Patrick Meaney
2370,Chad Hartigan
2371,Malcolm Goodwin
2372,Kevin Jordan
2373,Kirk Loudon
2374,Travis Legge
2375,Collin Joseph Neal
2376,Bradley Rust Gray
2377,Mike Bruce
2378,Andrew Bujalski
2379,Damir Catic
2380,James Bidgood
2381,Eric Eason
2382,Joseph Mazzella
2383,Marcus Nispel
2384,Brandon Landers
2385,Jim Chuchu
2386,Daryl Wein
2387,Jason Trost
2388,Jafar Panahi
2389,Ivan Kavanagh
2390,Kiyoshi Kurosawa
2391,Tadeo Garcia
2392,Thomas L. Phillips
2393,Ash Baron-Cohen
2394,Shane Carruth
2395,Neill Dela Llana
2396,Anthony Vallone
2397,Scott Smith
2398,Benjamin Roberds
2399,Daniel Hsia
2400,Anthony Shim
2401,François Bouvier
2402,Charles-Émile Lafrance
2403,Aaron Horvath
2404,John Stevenson
2405,Makoto Shinkai
2406,Julius Avery
2407,Bong Joon-ho
2408,Nedda Sarshar
2409,Connie Cocchia
